rank,texture_tag_hex,face_count,model_count,dominant_model_family,family_model_hits,bsi_family_count,bsi_family_examples,sample_models
34,000000000200,17,8,l,5,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,BSP_LVA9.3D | L422.3D | L4FLOT11.3D | L4PASS7.3D | L4SLIDE.3D | L4TEL1.3D | ZPLANKB4.3D | ZTRIP.3D
35,0400feffffff,16,10,l,8,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,L410.3D | L43.3D | L443.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D
36,3c0084030000,16,8,7,8,0,,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
37,340040030000,16,8,7,8,0,,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
38,0400a8010000,16,8,7,8,0,,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
39,540050040000,16,8,7,8,0,,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
40,1c0052020000,16,8,7,8,0,,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
41,2000ec010000,16,8,7,8,0,,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
42,ac003c070000,16,8,7,8,0,,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
43,9c00b4060000,16,8,7,8,0,,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
