texture_tag_hex,face_count,model_count,sample_models
e600000091ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
5300000051ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
7affffff55ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
1affffff91ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
24ffffff87ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
40ffffff65ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
81ffffff49ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
0000000041ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
4c00000040ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
db0000007cff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
e900000097ff,10,10,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D
0000000001ff,10,7,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D | ISLE1.3D | L4OUT01.3D
000084000000,10,10,EMACE.3D | ESTAFF.3D | L410.3D | L47.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D
00c0fbff0000,10,5,L442.3D | L4SLAB1.3D | L4SLAB2.3D | L4SLAB3.3D | L4SLAB4.3D
000048000000,10,10,L47.3D | L48.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
000055660000,10,2,L4CONVEN.3D | L4WALK2.3D
008000000080,9,6,7ARCH.3D | 7SWIVEL.3D | L426.3D | L436.3D | ZCULT.3D | ZTURN.3D
00000300feff,9,6,7BASE.3D | 7BOLT.3D | 7TREE.3D | L47.3D | L48.3D | L4SEDISL.3D
000024000000,9,9,7BASE.3D | 7TREE.3D | GTHS01.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D
000000002400,9,9,7BOLT.3D | 7LAVA3.3D | 7STOCK.3D | BSP_WAL8.3D | L428.3D | L47.3D | L48.3D | L4N.3D
610000006200,9,9,7CLIFF.3D | BSP_GTHS.3D | L2PIL14.3D | L2PIL19.3D | L2PIL7.3D | L2RP1.3D | L4CONN1.3D | L4CONN2.3D
070000000000,9,9,7SKULL.3D | BSPCAT.3D | GAT03.3D | GAT04.3D | KCAT4.3D | L4B.3D | L4FOAM.3D | L4Y.3D
00000000cc00,9,9,7STOCK.3D | 7TREE.3D | BSP_GTHS.3D | EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | GTHS01.3D
000000008400,9,9,7TREE.3D | BSP_GTHS.3D | BSP_LVA7.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D
030698407dc5,9,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
000005000000,9,5,L442.3D | L4SLAB1.3D | L4SLAB2.3D | L4SLAB3.3D | L4SLAB4.3D
0700000000ff,9,9,L4ARCHWY.3D | L4PL01.3D | L4PL02.3D | L4PL03.3D | L4PL04.3D | L4PL05.3D | L4PL06.3D | L4PL07.3D
0061ff04c061,9,9,L4FLOAT1.3D | L4FLOAT2.3D | L4FLOAT3.3D | L4FLOAT4.3D | L4FLOAT5.3D | L4FLOAT6.3D | L4FLOAT7.3D | L4FLOAT8.3D
7ca11dbe306a,9,9,L4FLOAT1.3D | L4FLOAT2.3D | L4FLOAT3.3D | L4FLOAT4.3D | L4FLOAT5.3D | L4FLOAT6.3D | L4FLOAT7.3D | L4FLOAT8.3D
1069ff040000,9,9,L4FLOAT1.3D | L4FLOAT2.3D | L4FLOAT3.3D | L4FLOAT4.3D | L4FLOAT5.3D | L4FLOAT6.3D | L4FLOAT7.3D | L4FLOAT8.3D
1c00fc010000,8,8,7ATDOWN.3D | 7ATUP.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
0a00d6060000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
1c0074020000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
8400e8050000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
11004e060000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
8000a4050000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
0b002c060000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
300074020000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
0c00ec010000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
a53603000000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
90002c060000,8,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
540000000000,8,8,7BASE.3D | 7BOLT.3D | 7TREE.3D | GAUNTS.3D | L43.3D | L47.3D | L48.3D | L4SEDISL.3D
700400005800,8,2,7BIS1.3D | 7INBACK.3D
a8003e050000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
5c0094040000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
cd4cfdff0000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
b0005e070000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
6400d8040000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
10000e020000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
0600b6040000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
70003e050000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
b40080070000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
740060050000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
08006ea40000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
bc00c4070000,8,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
